	type	location	distracted	time
45119	Rear Ended	Mid-Block	yes	17.05
45120	Rear Ended	Mid-Block	no	17.72
45121	Parked Car	Mid-Block	no	18.68
45122	Sideswipe	Mid-Block	no	18.82
45123	Parked Car	Mid-Block	no	18.83
45124	Parked Car	Mid-Block	no	19.07
45125	Angles	Mid-Block	no	20.17
45126	Angles	At Intersection	no	20.27
45127	Parked Car	Mid-Block	no	21.7
45128	Parked Car	Mid-Block	yes	22.33
45129	Left Turn	At Intersection	no	23.37
45130	Sideswipe	Mid-Block	no	23.48
45131	Left Turn	At Intersection	no	23.72
45132	Parked Car	Mid-Block	no	23.75
45133	Cycles	At Intersection	no	1.65
45134	Parked Car	Mid-Block	no	1.9
45135	Parked Car	Mid-Block	no	3.0
45136	Parked Car	Driveway Junction	no	3.17
45137	Rear Ended	Mid-Block	yes	7.55
45138	Angles	At Intersection	no	7.55
45139	Angles	At Intersection	no	7.93
45140	Cycles	At Intersection	no	10.33
45141	Sideswipe	Mid-Block	no	11.15
45142	Parked Car	Mid-Block	no	11.25
45143	Angles	At Intersection	no	12.5
45144	Cycles	At Intersection	no	13.12
45145	Right Turn	At Intersection	no	13.18
45146	Angles	Driveway Junction	no	13.33
45147	Angles	At Intersection	no	13.37
45148	Sideswipe	Mid-Block	no	13.48
45149	Rear Ended	Mid-Block	no	13.93
45150	Angles	Mid-Block	no	14.0
45151	Angles	At Intersection	no	14.22
45152	Rear Ended	Mid-Block	yes	14.28
45153	Angles	At Intersection	no	14.5
45154	Rear Ended	Mid-Block	no	14.58
45155	Sideswipe	Mid-Block	no	15.07
45156	Angles	Driveway Junction	no	15.17
45157	Rear Ended	Mid-Block	no	15.17
45158	Rear Ended	Mid-Block	yes	15.37
45159	Rear Ended	Driveway Junction	no	15.38
45160	Rear Ended	Mid-Block	yes	15.88
45161	Parked Car	Mid-Block	no	16.35
45162	Sideswipe	Mid-Block	yes	16.38
45163	Parked Car	Mid-Block	no	17.22
45164	Angles	At Intersection	no	17.5
45165	Parked Car	Mid-Block	yes	17.97
